deal_id,deal_status,fk_tariff_id,fk_client_id,fk_employee_id
1,Отменена,2,9053,989
2,Отменена,1,826,738
3,Заключена,4,1413,946
4,Ожидание,5,1275,913
5,Отменена,4,7451,360
6,Заключена,4,10790,14
7,Отменена,3,4196,530
8,Заключена,1,7390,31
9,Отменена,2,3809,768
10,Заключена,4,9268,480
11,Заключена,3,3540,396
12,Заключена,3,1138,890
13,Отменена,3,10065,933
14,Отменена,4,13377,19
15,Отменена,5,8368,491
16,Ожидание,1,3014,905
17,Ожидание,3,7801,218
18,Ожидание,3,3230,360
19,Заключена,1,14356,433
20,Ожидание,2,3122,239
21,Заключена,2,536,735
22,Ожидание,5,14232,661
23,Ожидание,4,12057,384
24,Ожидание,1,7220,924
25,Ожидание,3,11539,230
26,Отменена,4,9981,210
27,Отменена,4,13746,231
28,Ожидание,2,711,98
29,Ожидание,5,10305,94
30,Отменена,5,14197,579
31,Отменена,4,13293,234
32,Заключена,4,8989,630
33,Ожидание,2,10394,694
34,Заключена,1,13202,889
35,Заключена,5,10492,783
36,Отменена,2,7572,303
37,Ожидание,3,786,66
38,Отменена,1,12542,467
39,Отменена,3,966,753
40,Ожидание,2,1580,558
41,Отменена,4,3568,79
42,Отменена,3,2866,962
43,Заключена,2,1927,225
44,Заключена,1,7855,672
45,Заключена,4,546,268
46,Ожидание,3,7621,763
47,Отменена,3,8621,359
48,Отменена,3,729,73
49,Заключена,1,11515,725
50,Отменена,2,4014,820
51,Отменена,3,8326,828
52,Заключена,2,6930,845
53,Отменена,2,1044,455
54,Отменена,4,3574,662
55,Ожидание,5,807,153
56,Отменена,5,7011,483
57,Отменена,1,7125,320
58,Заключена,3,14105,339
59,Ожидание,4,11871,571
60,Ожидание,5,6722,835
61,Ожидание,5,5146,424
62,Заключена,5,5518,234
63,Ожидание,1,10625,451
64,Ожидание,1,7315,479
65,Отменена,5,364,644
66,Отменена,2,13088,197
67,Ожидание,5,6813,735
68,Отменена,1,353,65
69,Ожидание,5,10429,589
70,Заключена,2,3308,875
71,Ожидание,2,2525,215
72,Отменена,5,10125,901
73,Отменена,3,952,240
74,Заключена,3,11718,70
75,Отменена,3,14003,523
76,Ожидание,3,12344,399
77,Отменена,3,3383,578
78,Заключена,5,13760,963
79,Отменена,3,5480,257
80,Отменена,5,438,742
81,Отменена,1,3809,460
82,Ожидание,4,6120,573
83,Отменена,4,11624,86
84,Заключена,4,10529,807
85,Ожидание,1,10558,772
86,Ожидание,4,12495,988
87,Заключена,3,5138,509
88,Ожидание,5,12212,26
89,Ожидание,3,12410,968
90,Заключена,5,6591,619
91,Заключена,5,2095,987
92,Ожидание,4,1423,483
93,Ожидание,4,9500,389
94,Ожидание,2,11751,255
95,Заключена,2,9881,575
96,Отменена,5,4668,555
97,Заключена,4,11351,7
