domain_registration,profiler,mail_server,fk_deal_id
True,True,False,1
True,True,False,2
False,True,False,3
False,True,False,4
False,True,False,5
True,True,True,6
True,True,False,7
False,False,True,8
False,True,False,9
False,False,False,10
False,True,True,11
True,False,False,12
True,True,True,13
False,True,False,14
True,True,False,15
True,True,True,16
False,False,False,17
True,False,False,18
False,False,False,19
False,False,True,20
True,False,True,21
False,False,False,22
False,True,False,23
False,True,True,24
True,True,True,25
True,True,True,26
False,True,True,27
False,False,False,28
False,False,False,29
False,True,False,30
False,True,False,31
False,False,False,32
False,True,False,33
True,True,True,34
True,False,False,35
True,False,True,36
False,True,True,37
False,True,True,38
True,False,True,39
True,False,True,40
True,True,False,41
True,True,True,42
True,False,True,43
True,True,False,44
True,True,False,45
False,False,False,46
True,True,True,47
True,True,True,48
True,False,True,49
False,True,False,50
True,True,False,51
True,True,False,52
True,False,False,53
True,True,True,54
True,True,False,55
False,False,False,56
False,True,False,57
True,False,True,58
True,False,True,59
False,False,True,60
False,False,True,61
False,True,False,62
True,True,False,63
True,True,True,64
True,False,True,65
True,True,False,66
True,False,False,67
True,False,False,68
True,False,False,69
False,False,True,70
True,True,True,71
False,False,False,72
False,True,True,73
True,True,False,74
True,False,True,75
False,True,False,76
False,False,False,77
True,False,True,78
True,False,True,79
True,True,True,80
False,True,False,81
False,True,False,82
True,True,False,83
True,False,False,84
True,True,False,85
True,False,True,86
True,True,False,87
False,True,False,88
True,True,False,89
True,False,False,90
True,True,True,91
True,False,True,92
False,False,False,93
False,True,False,94
True,True,False,95
False,False,True,96
False,False,False,97
False,True,False,98
False,False,True,99
False,True,True,100
False,False,True,101
True,False,True,102
True,False,False,103
False,False,True,104
False,False,False,105
False,False,True,106
True,False,False,107
True,True,True,108
True,True,True,109
False,True,False,110
False,False,True,111
False,False,True,112
False,True,False,113
True,True,True,114
False,True,False,115
False,True,False,116
False,True,True,117
False,False,False,118
True,False,False,119
True,True,True,120
False,True,False,121
True,True,True,122
False,True,False,123
True,False,True,124
False,False,True,125
True,True,False,126
False,False,True,127
False,False,False,128
True,True,False,129
True,True,True,130
True,True,False,131
True,False,True,132
True,False,False,133
False,False,True,134
True,False,False,135
True,True,False,136
True,False,False,137
False,False,False,138
True,True,False,139
True,False,False,140
False,False,False,141
False,False,True,142
True,False,True,143
True,True,True,144
True,True,False,145
False,True,True,146
False,False,False,147
False,True,False,148
True,False,False,149
False,True,True,150
True,True,False,151
True,False,False,152
False,True,True,153
False,False,True,154
False,True,False,155
False,True,True,156
True,True,False,157
True,True,True,158
True,True,True,159
True,False,False,160
False,True,True,161
False,False,True,162
True,True,False,163
True,True,True,164
True,True,True,165
True,True,False,166
True,False,False,167
True,False,False,168
True,False,True,169
False,False,True,170
False,False,True,171
False,False,True,172
False,False,True,173
False,True,False,174
False,False,False,175
True,True,True,176
True,False,True,177
False,False,False,178
False,True,False,179
False,False,False,180
True,False,False,181
False,False,True,182
False,False,True,183
False,False,True,184
False,True,False,185
True,False,False,186
False,False,True,187
True,False,True,188
True,False,False,189
True,False,False,190
False,False,False,191
False,True,True,192
False,False,True,193
False,True,True,194
True,False,False,195
True,True,False,196
False,True,True,197
True,True,True,198
False,False,False,199
False,True,True,200
True,False,True,201
False,False,True,202
False,False,False,203
True,True,True,204
False,True,True,205
False,True,False,206
False,True,True,207
False,False,True,208
False,True,True,209
False,False,False,210
True,False,False,211
False,True,False,212
True,True,False,213
False,True,True,214
True,False,True,215
True,True,False,216
False,True,True,217
False,False,True,218
True,False,False,219
False,True,True,220
False,False,True,221
True,False,True,222
True,False,True,223
False,False,True,224
True,False,True,225
True,True,False,226
False,True,True,227
False,True,True,228
True,True,False,229
True,True,True,230
False,True,True,231
True,True,True,232
False,False,False,233
True,True,True,234
True,False,True,235
True,True,True,236
True,False,True,237
True,False,False,238
False,False,False,239
True,True,False,240
True,True,True,241
True,False,True,242
True,True,False,243
True,False,True,244
True,True,True,245
True,True,True,246
False,False,False,247
False,True,True,248
False,False,False,249
True,True,False,250
True,False,False,251
False,False,True,252
False,True,True,253
True,True,True,254
False,False,False,255
False,False,False,256
False,True,False,257
False,True,False,258
False,True,False,259
False,True,True,260
False,True,False,261
False,True,False,262
False,False,False,263
True,False,True,264
False,False,False,265
True,False,True,266
False,False,True,267
False,False,False,268
True,False,True,269
True,False,True,270
True,False,True,271
False,False,True,272
False,False,True,273
True,True,False,274
False,True,True,275
True,True,True,276
False,False,False,277
True,True,False,278
True,True,True,279
True,False,True,280
True,True,True,281
False,False,True,282
False,False,True,283
True,False,False,284
True,True,True,285
True,False,False,286
True,False,False,287
True,True,True,288
True,True,True,289
False,True,True,290
True,True,True,291
True,False,True,292
True,False,False,293
False,False,True,294
True,True,True,295
False,False,False,296
True,True,True,297
False,False,False,298
False,True,False,299
False,True,True,300
True,False,False,301
False,True,True,302
False,True,True,303
False,True,True,304
False,True,False,305
True,False,False,306
True,False,False,307
True,False,True,308
True,True,True,309
False,False,False,310
False,False,True,311
False,True,False,312
True,False,True,313
True,True,False,314
True,False,True,315
False,False,True,316
True,True,True,317
True,True,False,318
False,False,False,319
False,True,True,320
True,False,True,321
True,False,False,322
True,True,True,323
False,False,False,324
False,True,True,325
True,True,False,326
False,False,False,327
True,False,False,328
True,True,True,329
True,False,True,330
True,True,True,331
False,False,False,332
True,True,True,333
False,True,False,334
True,True,True,335
False,True,False,336
False,False,False,337
False,False,False,338
False,False,False,339
True,True,True,340
False,False,True,341
True,False,False,342
True,False,True,343
False,False,True,344
False,True,False,345
False,False,True,346
False,False,False,347
False,True,True,348
False,True,True,349
False,True,True,350
False,True,False,351
True,True,True,352
False,True,False,353
True,False,True,354
True,False,True,355
False,True,False,356
False,False,True,357
False,True,False,358
False,False,True,359
True,False,False,360
True,False,False,361
True,False,True,362
False,False,True,363
False,False,True,364
False,True,True,365
True,False,False,366
