subtask_id,subtask_description,subtask_status,fk_task_id
1,Проверить почтовый SPF-запись клиента.,False,1
2,Отметить прогресс в CRM.,True,1
3,Связаться с клиентом для подтверждения решения.,True,1
4,Проверить успешность привязки домена.,True,2
5,Проверить доступ клиента к панели управления.,False,3
6,Завести карточку клиента в сторонней учётной системе.,True,3
7,Сверить данные клиента с оформленным заказом.,False,4
8,Зафиксировать результаты тестирования сервиса.,False,4
9,Добавить напоминание о повторной связи.,False,5
10,Обновить статус подзадачи в системе.,False,5
11,Проверить доступ клиента к панели управления.,False,5
12,Связаться с клиентом для подтверждения решения.,True,5
13,Подтвердить активацию тарифа по email.,True,7
14,Уточнить сроки выполнения у технического отдела.,False,7
15,Уточнить сроки выполнения у технического отдела.,False,9
16,Зафиксировать результаты тестирования сервиса.,True,9
17,Проверить шаблон ответа перед отправкой клиенту.,False,10
18,Проверить успешность привязки домена.,True,10
19,Создать черновик инструкции на основе обращения.,False,10
20,Выполнить тестовую регистрацию домена.,False,10
21,Уточнить детали обращения через внутренний чат.,False,12
22,Оценить техническую сложность обращения.,False,12
23,Добавить примечание в CRM о ходе обращения.,True,12
24,Проверить доступ клиента к панели управления.,True,12
25,Отметить прогресс в CRM.,True,13
26,Проверить успешность привязки домена.,False,13
27,Уточнить информацию у коллег из техподдержки.,False,13
28,Проверить шаблон ответа перед отправкой клиенту.,True,14
29,Проверить почтовый SPF-запись клиента.,True,15
30,Перепроверить логи на наличие ошибок входа клиента.,False,17
31,Создать черновик инструкции на основе обращения.,True,17
32,Проверить шаблон ответа перед отправкой клиенту.,False,17
33,Проверить успешность привязки домена.,True,18
34,Завести карточку клиента в сторонней учётной системе.,True,18
35,Перепроверить логи на наличие ошибок входа клиента.,False,18
36,Уточнить сроки выполнения у технического отдела.,False,18
37,Сверить данные клиента с оформленным заказом.,True,20
38,Зарегистрировать новое обращение в трекере.,False,21
39,Уточнить информацию у коллег из техподдержки.,False,21
40,Сверить данные клиента с оформленным заказом.,True,21
41,Проверить успешность привязки домена.,True,22
42,Отметить прогресс в CRM.,False,22
43,Проверить шаблон ответа перед отправкой клиенту.,True,22
44,Обновить статус подзадачи в системе.,False,22
45,Уточнить сроки выполнения у технического отдела.,True,24
46,Добавить примечание в CRM о ходе обращения.,True,24
47,Проверить наличие активной учётной записи клиента в базе.,True,24
48,Отметить прогресс в CRM.,True,24
