task_id,task_description,task_status,task_creation_date,fk_employee_id
1,Проконтролировать продление услуги хостинга и уведомить клиента.,Открыта,2024-01-12,127
2,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2024-04-06,869
3,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Открыта,2023-08-28,224
4,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2023-06-06,535
5,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2024-12-16,676
6,Решить технический вопрос по авторизации в личном кабинете клиента.,В работе,2022-11-28,818
7,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2023-04-25,682
8,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2024-11-13,735
9,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2024-08-29,820
10,Отметить в CRM завершение настройки почтового сервиса.,В работе,2025-01-11,149
11,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Открыта,2023-11-12,778
12,Уточнить детали инцидента и оформить заявку в техподдержку.,Завершена,2025-03-08,20
13,Настроить почтовый ящик и протестировать отправку/приём сообщений.,В работе,2023-10-15,638
14,Провести финальную проверку перед запуском сайта клиента.,Открыта,2024-05-02,124
15,Добавить клиента в систему после завершения онлайн-оплаты.,Завершена,2025-01-15,820
16,Согласовать перенос времени техработ на сервере по просьбе клиента.,Завершена,2023-06-05,488
17,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2024-08-05,360
18,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2023-05-07,37
19,Согласовать перенос времени техработ на сервере по просьбе клиента.,Открыта,2022-02-18,795
20,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2022-11-07,812
21,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2022-07-07,869
22,Добавить клиента в систему после завершения онлайн-оплаты.,Завершена,2023-02-12,962
23,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Завершена,2024-07-14,701
24,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2024-08-07,69
25,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,В работе,2022-01-25,301
26,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2023-05-11,250
27,Решить технический вопрос по авторизации в личном кабинете клиента.,Завершена,2022-04-07,10
28,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2023-03-19,296
29,Проверить корректность данных клиента в CRM и внести правки.,Завершена,2023-06-26,307
30,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2024-05-04,865
31,Провести консультацию по выбору тарифа для клиента с большим трафиком.,В работе,2025-03-22,317
32,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2023-09-23,936
33,Проверить корректность данных клиента в CRM и внести правки.,В работе,2025-03-11,354
34,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2023-06-13,134
35,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2024-12-22,203
36,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2023-11-09,24
37,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2025-02-21,377
38,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2022-10-30,936
39,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2022-04-02,865
40,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2024-05-28,755
41,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2023-01-02,365
42,Проверить корректность данных клиента в CRM и внести правки.,В работе,2022-06-27,925
43,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2023-08-28,414
44,Отметить в CRM завершение настройки почтового сервиса.,В работе,2023-04-16,783
45,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Открыта,2024-06-05,403
46,Провести консультацию по выбору тарифа для клиента с большим трафиком.,В работе,2025-01-29,112
47,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2023-11-22,114
48,Провести финальную проверку перед запуском сайта клиента.,Завершена,2022-03-14,710
49,Решить технический вопрос по авторизации в личном кабинете клиента.,В работе,2023-10-09,642
50,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2022-01-11,963
51,Решить технический вопрос по авторизации в личном кабинете клиента.,Завершена,2024-12-06,790
52,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2023-08-01,199
53,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2022-01-12,698
54,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2024-06-06,530
55,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2022-12-10,322
56,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2023-02-13,664
57,Помочь клиенту с восстановлением доступа к панели управления.,Открыта,2025-02-13,310
58,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2024-01-20,434
59,Помочь клиенту с восстановлением доступа к панели управления.,Завершена,2024-04-20,709
60,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2022-03-18,975
61,Подтвердить оплату и активировать заказанный тариф.,Завершена,2023-06-14,808
62,Подтвердить оплату и активировать заказанный тариф.,В работе,2023-06-19,642
63,Проверить корректность данных клиента в CRM и внести правки.,Открыта,2023-05-11,812
64,Подтвердить оплату и активировать заказанный тариф.,Завершена,2024-12-23,772
65,Отметить в CRM завершение настройки почтового сервиса.,Завершена,2024-08-12,219
66,Подтвердить оплату и активировать заказанный тариф.,Завершена,2024-01-20,486
67,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2023-05-18,8
68,Помочь клиенту с восстановлением доступа к панели управления.,Открыта,2024-11-19,359
69,Проверить корректность данных клиента в CRM и внести правки.,В работе,2022-08-05,362
70,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2023-12-30,736
71,Проверить корректность данных клиента в CRM и внести правки.,В работе,2023-06-02,74
72,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2022-04-20,774
73,Согласовать перенос времени техработ на сервере по просьбе клиента.,Открыта,2022-07-05,676
74,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2023-07-28,680
75,Подтвердить оплату и активировать заказанный тариф.,В работе,2023-08-29,894
76,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2025-03-15,779
77,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2022-07-02,439
78,Отметить в CRM завершение настройки почтового сервиса.,Завершена,2024-02-02,615
79,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2022-01-28,370
80,Провести консультацию по выбору тарифа для клиента с большим трафиком.,В работе,2022-09-14,569
81,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Открыта,2022-11-17,714
82,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2023-07-23,121
83,Провести консультацию по выбору тарифа для клиента с большим трафиком.,В работе,2023-10-23,800
84,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2023-09-05,997
85,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Открыта,2024-06-18,111
86,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2024-11-15,238
87,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,В работе,2024-03-24,813
88,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2023-06-12,320
89,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2024-07-11,406
90,Провести консультацию по выбору тарифа для клиента с большим трафиком.,В работе,2022-06-17,703
91,Отметить в CRM завершение настройки почтового сервиса.,В работе,2022-06-29,577
92,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2023-01-02,479
93,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2022-07-27,227
94,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2024-10-03,427
95,Отметить в CRM завершение настройки почтового сервиса.,Завершена,2024-05-02,671
96,Провести опрос удовлетворённости услугой у нового клиента.,В работе,2022-07-28,906
97,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2022-08-16,264
98,Настроить почтовый ящик и протестировать отправку/приём сообщений.,В работе,2023-11-19,637
99,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2022-02-14,440
100,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2024-12-07,13
101,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,В работе,2022-03-18,892
102,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Открыта,2023-07-06,84
103,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2024-11-30,837
104,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2022-05-07,994
105,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2022-12-22,98
106,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Открыта,2022-09-23,676
107,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2024-10-27,687
108,Отметить в CRM завершение настройки почтового сервиса.,В работе,2024-01-08,915
109,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2024-09-22,335
110,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2022-10-26,212
111,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2022-07-06,726
112,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2023-03-22,853
113,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2022-08-21,635
114,Подтвердить оплату и активировать заказанный тариф.,В работе,2022-06-27,555
115,Провести финальную проверку перед запуском сайта клиента.,Открыта,2024-06-15,747
116,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2024-06-29,397
117,Провести финальную проверку перед запуском сайта клиента.,Открыта,2023-07-11,192
118,Уточнить детали инцидента и оформить заявку в техподдержку.,Завершена,2024-07-20,959
119,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2024-01-22,245
120,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2025-01-09,283
121,Отметить в CRM завершение настройки почтового сервиса.,Завершена,2023-01-03,400
122,Проверить корректность данных клиента в CRM и внести правки.,В работе,2024-01-14,661
123,Помочь клиенту с восстановлением доступа к панели управления.,Завершена,2024-07-08,403
124,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2025-02-22,593
125,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2022-05-15,316
126,Подтвердить оплату и активировать заказанный тариф.,Завершена,2023-12-24,29
127,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2023-01-12,77
128,Решить технический вопрос по авторизации в личном кабинете клиента.,Завершена,2023-04-02,415
129,Проверить корректность данных клиента в CRM и внести правки.,Завершена,2023-09-29,152
130,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Открыта,2024-07-27,514
131,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2022-02-26,280
132,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2024-05-18,358
133,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2025-02-02,623
134,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2022-08-22,835
135,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2022-12-28,408
136,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2023-12-03,888
137,Составить и отправить клиенту инструкцию по подключению домена.,Завершена,2022-06-06,153
138,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2022-01-08,752
139,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2024-08-18,49
140,Проверить корректность данных клиента в CRM и внести правки.,В работе,2022-06-03,702
141,Провести консультацию по выбору тарифа для клиента с большим трафиком.,В работе,2022-02-06,879
142,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2023-07-05,46
143,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2025-03-16,458
144,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2023-07-29,601
145,Добавить клиента в систему после завершения онлайн-оплаты.,Открыта,2022-02-17,213
